pc,evaluation_variance,reconstruction_mse,r_squared
258,23279.593469202522,5811.541563774772,0.7503589754922875
259,22820.36770483134,5542.60124444695,0.7571204234683074
260,24015.01507767992,5739.740747557084,0.7609936646306034
261,23682.49489106112,5713.834133594939,0.7587317484970045
262,23119.93034364634,5519.163993951503,0.7612811149550786
263,23043.840777336398,5919.502989246799,0.7431199492113907
264,23215.665497330418,5973.831903100235,0.7426809968558873
265,24171.54760326558,5445.208908408024,0.7747265091262764
266,24039.3656722549,5881.3094727881335,0.7553467278225205
267,21832.578134037594,5656.971254891505,0.7408931176079416
268,22853.577210961124,5649.749184560663,0.7527849083577643
269,22780.91838609128,5389.654165562539,0.7634136572451289
270,22782.248762951196,5535.337233838753,0.7570328859352816
271,22848.597564014344,5816.660037150378,0.7454259491921118
272,22487.607224390747,5756.051435513166,0.7440345085149844
273,23449.136442856183,5352.233878901288,0.7717513439377912
274,21820.995794990762,5384.957292170089,0.7532212854646045
275,22827.926099264958,5647.69667755387,0.7525970316797319
276,22752.89275276081,5757.790956210066,0.7469424649087126
277,23014.53845816849,5625.783064823849,0.7555552515185415
278,22302.848408172536,5417.299472186947,0.7571027981250207
279,23249.48936853967,5616.789349720749,0.7584123564743244
280,23023.165445411247,5518.242173632426,0.7603178335005073
281,21649.647670508333,5590.108078098707,0.7417921915785408
282,22626.422449915655,5654.54325800957,0.7500911480581567
283,21938.45545003923,5542.799907646231,0.7473477601798846
284,22009.468319256976,5539.6400082211285,0.7483065048248225
285,22997.461842681267,5410.582058162961,0.7647313388244699
286,22021.103484216543,5673.815311149725,0.7423464580139507
287,22014.296120933464,5630.9271847339405,0.7442149794932815
288,22000.12351689045,5662.522610431978,0.7426140536854435
289,21216.898306185674,5490.815573186744,0.7412055478634252
290,22261.084953618505,5803.2994191680655,0.7393074312748289
291,20653.039736782648,5477.295983428074,0.7347946814011538
292,21430.544949649055,5636.432956927684,0.7369906845499985
293,22009.3756413461,5499.146373870468,0.7501452806530345
294,20878.467022450033,5626.790250502619,0.7304979218803618
295,21736.20844886246,5617.618466409837,0.7415548125780037
296,21299.71486404466,5469.663429747407,0.7432048520527116
297,22102.006307139192,5621.211191835317,0.7456696413112684
298,20765.579961559353,5431.305452736762,0.7384467246861856
299,21058.98479604537,5519.472849335164,0.7379041343734833
300,21337.413695962645,5594.483676662425,0.7378087261943567
301,21163.443222205984,5351.688403662628,0.7471258175017896
302,21491.113105648004,5499.786850703836,0.7440901816640453
303,21326.371743477284,5632.532085096551,0.7358888725730258
304,21233.84331391311,5364.446679774607,0.7473633670330586
305,21002.336431603802,5446.618921447264,0.7406660473616962
306,21193.201702229133,5498.177095279242,0.740568830867073
307,20951.636175168496,5224.798239784924,0.7506257651620898
308,21078.250073985277,5508.607326767696,0.7386591720170165
309,21448.789879455726,5410.988424935872,0.7477252350670527
310,20357.145674519557,5461.664859503704,0.7317077282430655
311,21524.502045226345,5452.05299628952,0.7467048025160394
312,20565.802156414666,5526.951827015148,0.7312552272466921
313,20629.848503601905,5920.526457164051,0.713011636700563
314,20734.068874953227,5447.533932793668,0.7372665266211065
315,20868.375869181902,5157.326004911535,0.7528640447516668
316,20300.07400882309,5479.375753351428,0.7300809962086883
317,20960.88258094596,5494.198612952466,0.7378832407588195
318,21135.41875274551,5394.897142637547,0.74474614362979
319,20426.059591402147,5442.449479337378,0.7335536276596273
320,20748.945291383377,5373.744767117044,0.7410111843444567
321,20084.955424997548,5243.726951009954,0.7389226493137415
322,20635.196211893963,5488.27446639324,0.7340333278134838
323,20236.086146150697,5398.532478553655,0.7332224996689608
324,21218.423706038473,5529.351793136878,0.7394079847899682
325,20534.47265029052,5482.028896510024,0.7330328862167071
326,20576.022641151718,5487.797036818905,0.733291650552357
327,20367.282480102826,5325.690494161618,0.7385173746490539
328,20440.496916215692,5657.203942935508,0.7232354983284394
329,20267.20074345772,5446.323834199522,0.7312739976704675
330,20791.516930914488,5291.40706896671,0.7455016347989971
331,19616.074250753394,5082.2887172304745,0.7409120371251001
332,19810.585043459196,5211.438164834272,0.7369366854435772
333,20292.17256488006,5475.018447490821,0.7301906225178416
334,19954.27755089523,5399.428257595062,0.7294099852112751
335,20547.168333607413,5280.106934011926,0.7430250802308529
336,20209.945478464153,5430.6108421568915,0.7312901784943564
337,20403.07954867198,5602.752165187218,0.7253967396528679
338,20407.078347477465,5426.195316535545,0.734102294108834
339,19751.20420789994,5493.580264233442,0.7218609960988525
