feature_id,source,level,n,activation_mean,pc1_mean,pc2_mean,pc3_mean,pc4_mean,pc5_mean,pc6_mean,pc7_mean,pc8_mean
7546,fineweb-edu-sample,2,693,368.97696926893093,-905.8935901144565,1465.7790424691302,86.68363425107891,71.34253070437565,-113.48680467460969,-108.1902269557673,192.5968598163998,70.79134298450367
7546,fineweb-edu-sample,3,702,583.804367369736,-1255.0978081023059,1518.3308712763933,78.34279189230053,22.7525931794316,-144.54173803109947,-146.99037987238503,187.86839114085203,83.4462675027085
7546,wikimedia-en,0,638,246.0012108494869,3183.5448876806486,640.5618911257312,-617.1082652780046,-165.5954405531064,-264.18803687921843,234.45086252031774,280.7777076122199,-118.15582500936715
7546,wikimedia-en,1,630,290.49995596749443,2472.478130170352,753.2575923993982,-650.0411940489175,-165.7620164594433,-251.36236635390887,166.40162238575334,282.98169726039833,-103.1928979276548
7546,wikimedia-en,2,548,364.66751243424244,1312.606710069159,825.5235387654988,-610.323318719118,-160.35329455158652,-226.64537020513893,118.17709643694373,254.0465392548646,-22.134840165933635
7546,wikimedia-en,3,426,568.9348373771273,317.604253606146,914.4484267036072,-584.4886083226106,-180.34561911010402,-222.86451823857743,90.07434125786934,201.6710580981511,-13.117885951193326
8662,fineweb-edu-sample,0,185,313.0386791332348,-3656.6983532022095,89.45132227056247,503.98675468574226,-32.32212600876838,888.4723616134811,-309.08810571166987,-62.61858621957503,-462.2949873258091
8662,fineweb-edu-sample,1,201,405.2902862396999,-3866.8221068890084,80.39318055714273,455.21639265688265,-33.61891451800402,911.0826976747513,-241.03257626561108,-115.27256934463294,-434.8543150673038
8662,fineweb-edu-sample,2,185,538.483362146326,-4248.800492088489,62.17362568038785,484.67896249514075,-125.38349788259255,923.225227826422,-304.06583962212284,-124.12929123972263,-424.9417125857601
8662,fineweb-edu-sample,3,204,834.4637259689032,-4316.207880273686,31.26105296217931,516.9244271069622,-146.75246774263871,897.6175062791945,-243.0115783150668,-162.1565848469142,-376.9756568139256
8662,wikimedia-en,0,89,310.92481566011236,-3274.3496288344923,-367.13882868498354,-300.98323017085914,-331.3986989658236,913.4568691920537,-72.56753309982565,-300.40758563372094,-453.21432279366144
8662,wikimedia-en,1,82,409.5782083650915,-2819.2717115859136,-347.7434883077168,-271.7094795997787,-339.5760628474518,919.6964307430455,-56.67991050084281,-304.3081219911251,-446.2831678021179
8662,wikimedia-en,2,89,533.2144624517205,-2194.5361847584304,-333.4985120522811,-382.0175026469822,-350.6238008198134,991.1113468019695,-134.3388993186816,-296.78767030723736,-480.72570551365607
8662,wikimedia-en,3,94,827.0643609229554,-2722.5033611645044,-184.54224607131468,-32.20214914706319,-325.55388695864707,995.5971752888747,-169.99880366369098,-427.15575222942783,-354.0714303693554
9320,fineweb-edu-sample,0,8,292.6615295410156,4242.226793913353,0.8274380767168736,30.92543728763207,36.362360753634974,-128.58901454991985,-367.80960248646016,804.1023871394323,270.6096723779069
9320,fineweb-edu-sample,1,4,323.74945068359375,3710.9319480828417,-343.3289626079786,-175.4276915571493,58.590206454384784,-170.74850770757482,-176.39645896475054,811.172884085659,302.9083915904874
9320,fineweb-edu-sample,2,4,376.71807861328125,4973.754269974864,-68.59654517069802,7.885698716126161,89.83231771792275,-82.36749778674914,-419.35566027772916,845.093617254323,324.89869006650514
9320,fineweb-edu-sample,3,2,429.537353515625,7661.713199631196,-62.00200781501158,253.87069952057496,405.71129955755384,45.24161117689952,-167.61617269655218,640.4662386886009,314.2841583377684
9320,wikimedia-en,0,94,284.5768315741356,6772.911541608166,93.82282765568705,-831.0158146553315,-259.70869937966637,-686.4341428435857,438.52275451556795,1233.8357773488794,-786.6576465643305
9320,wikimedia-en,1,64,324.6383857727051,7038.603313449082,133.0507743645925,-910.4400231361315,-236.45759867313168,-704.8509725592431,532.0325866908292,1307.0154090843998,-939.177717403987
9320,wikimedia-en,2,105,377.1735421316964,6845.294019924415,95.43440074726351,-890.0532419801533,-215.28762088126976,-719.7168744297538,538.9665885446353,1333.471183442075,-917.7205733398303
9320,wikimedia-en,3,99,479.0911113083965,6079.120459509063,-29.26526278867366,-859.3647525763039,-177.33438018433577,-736.1779043624153,586.1751641818283,1442.8226204306804,-898.6848827413079
9415,fineweb-edu-sample,0,72,275.50393252902563,-2425.792291308289,22.283538416857866,177.52541767303535,-46.35409673489284,235.41697857062343,-357.9760018128429,75.28082199828233,-61.15798513767546
9415,fineweb-edu-sample,1,53,295.01070188126477,-4836.343155029254,-100.42646148540172,263.7005628067939,-201.86445057022357,104.12228594031298,-405.7067234542936,129.992352880717,-56.705405414527185
9415,fineweb-edu-sample,2,53,326.7055381918853,-5102.508268042234,16.007195010567518,151.77099984372975,-203.316821651534,318.96338485559977,-537.3470435168387,204.30806982374958,-42.52051361246964
9415,fineweb-edu-sample,3,30,397.8224578857422,-4273.270287588735,97.5196787734109,130.9829300491365,-97.14344031269022,244.03097594657163,-449.3312446889051,100.84329751823287,7.247398867304044
9415,wikimedia-en,0,66,276.15943446303856,-487.75287177379994,-581.5812226330189,-661.9516804532176,-411.86455617838334,-40.15785361582092,-89.95217896390227,-55.810456929963124,-339.8621376163795
9415,wikimedia-en,1,51,294.0666850968903,-743.0753145700918,-293.77218656321037,-612.0485935801328,-476.5900370154122,-42.6877936356925,-81.49467863425022,-15.232645268139201,-317.31773857137836
9415,wikimedia-en,2,49,323.26595135124364,-2329.5861806173243,-370.4476376473253,-519.1744809486148,-387.34088226180904,124.91901535033192,-211.78785582391208,-114.99297912055776,-163.67232619530202
9415,wikimedia-en,3,20,394.0085876464844,-2495.632753558356,-466.662256217086,-557.4011306122977,-452.24849839729285,258.94970703728404,-389.51212103180603,-259.6207487100754,-307.8622486977796
9563,fineweb-edu-sample,0,132,245.22710118149266,-2873.579156436947,320.59231678643937,591.9448520686278,-135.73958712932262,618.4567637928383,-136.1486251163624,361.0388385727253,-296.40011908170015
9563,fineweb-edu-sample,1,84,348.167601449149,-3847.8864370013694,232.56351253428858,554.3294729203627,-129.70033450633102,717.9939624377545,-273.33166377021746,461.63640434535523,-325.3570005085781
9563,fineweb-edu-sample,2,102,533.0966120701211,-5358.191335269309,132.70893623992094,584.5472621625662,-327.13729333563225,756.1168493564186,-285.8867525924801,370.5699434069932,-328.1271762576541
